pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-08-02,99.0,-2.42,5.88,"Halvorsen, Seth",687462,678020,,ball,,,,,11.0,Ball,R,L,R,COL,PIT,B,,,2,2,2025,-0.67,1.06,-0.21,4.66,,,,0,9,Top,,,,,,,7.659148487165857,-143.9849355959408,-0.3576898786022049,-11.161617894381346,33.71246212322021,-17.608447813117238,3.61,1.68,,,,99.8,2152.0,6.8,776904,543592,682653,642731,606115,678662,687597,686668,666160,53.74,,,,,,,,73,5,4-Seam Fastball,8,4,4,8,4,8,4,8,Strategic,Standard,227.0,-0.004,0.112,,,,-0.112,,4,-4,0.986,0.014,25,27,25,28,1,0,5.0,1.0,,1.0,1.27,0.67,-0.67,49.9,,,,,
FF,2025-08-02,100.0,-2.36,6.04,"Halvorsen, Seth",687462,678020,,ball,,,,,12.0,Ball,R,L,R,COL,PIT,B,,,1,2,2025,-0.55,1.06,0.61,5.0,,,,0,9,Top,,,,,,,9.55073872739049,-145.4237185133528,0.0259047030277694,-9.967969144771068,33.409995657408054,-17.332090831140828,3.61,1.68,,,,100.9,2241.0,6.8,776904,543592,682653,642731,606115,678662,687597,686668,666160,53.74,,,,,,,,73,4,4-Seam Fastball,8,4,4,8,4,8,4,8,Standard,Standard,223.0,-0.001,0.043,,,,-0.043,,4,-4,0.987,0.013,25,27,25,28,1,0,5.0,1.0,,1.0,1.22,0.55,-0.55,46.3,,,,,
SL,2025-08-02,88.4,-2.61,5.8,"Halvorsen, Seth",687462,678020,,ball,,,,,14.0,Ball,R,L,R,COL,PIT,B,,,0,2,2025,0.28,0.02,0.13,1.37,,,,0,9,Top,,,,,,,6.189341556552421,-128.82943523654333,-4.957362634600945,2.144494856627249,21.369143778443043,-31.28580409512243,3.54,1.68,,,,90.4,2550.0,7.0,776904,543592,682653,642731,606115,678662,687597,686668,666160,53.54,,,,,,,,73,3,Slider,8,4,4,8,4,8,4,8,Standard,Standard,96.0,-0.001,0.024,,,,-0.024,,4,-4,0.988,0.012,25,27,25,28,1,0,5.0,1.0,,1.0,2.84,-0.28,0.28,43.8,,,,,
FF,2025-08-02,100.2,-2.47,5.93,"Halvorsen, Seth",687462,678020,,foul,,,,,6.0,Foul,R,L,R,COL,PIT,S,,,0,1,2025,-0.66,0.84,0.61,3.0,,,,0,9,Top,,,,,,,10.15631921262831,-145.76090759337558,-4.868543137536374,-11.504662930155307,28.657915232561837,-19.15245973109204,3.61,1.68,121.0,54.7,22.0,101.8,2162.0,6.8,776904,543592,682653,642731,606115,678662,687597,686668,666160,53.7,,,,,,,,73,2,4-Seam Fastball,8,4,4,8,4,8,4,8,Infield shade,Standard,225.0,0.002,-0.055,55.4,4.8,,0.055,88.0,4,-4,0.986,0.014,25,27,25,28,1,0,5.0,1.0,,1.0,1.4,0.66,-0.66,42.8,-12.981436014274644,29.13039673053809,37.052235860326505,25.452198405328,14.990832563507803
FF,2025-08-02,99.4,-2.37,5.85,"Halvorsen, Seth",687462,678020,,called_strike,,,,,3.0,Called Strike,R,L,R,COL,PIT,S,,,0,0,2025,-0.74,0.94,0.5,3.28,,,,0,9,Top,,,,,,,9.702409206123596,-144.57859585373117,-3.9654597292470855,-12.409209306415734,29.178105777776647,-18.16585000278381,3.54,1.68,,,,101.0,2167.0,6.9,776904,543592,682653,642731,606115,678662,687597,686668,666160,53.61,,,,,,,,73,1,4-Seam Fastball,8,4,4,8,4,8,4,8,Infield shade,Standard,227.0,0.001,-0.039,,,,0.039,,4,-4,0.985,0.015,25,27,25,28,1,0,5.0,1.0,,1.0,1.34,0.74,-0.74,47.6,,,,,
FF,2025-07-28,100.2,-2.32,5.77,"Halvorsen, Seth",677587,678020,strikeout,swinging_strike,,,,,1.0,Brayan Rocchio strikes out swinging.,R,L,R,CLE,COL,S,2.0,,1,2,2025,-1.11,1.27,-0.45,3.19,,666134.0,,2,9,Bot,,,,,,,7.920311223383432,-145.68329676239108,-4.826740332093654,-17.712932646690852,33.1924348156616,-13.111819898461494,3.11,1.41,,,,101.8,2413.0,7.1,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.39,,0.0,0.0,1.0,0.0,0.0,,86,4,4-Seam Fastball,6,8,6,8,8,6,6,8,Strategic,Standard,229.0,-0.05,-0.208,68.2,6.0,,0.208,,-2,-2,0.05,0.05,25,24,25,24,1,4,3.0,1.0,5.0,1.0,1.0,1.11,-1.11,40.9,-3.3158372373385645,26.74168825101621,23.495002413998296,38.629825327844536,12.636025522372943
FS,2025-07-28,90.2,-2.79,5.57,"Halvorsen, Seth",677587,678020,,ball,,,,,14.0,Ball,R,L,R,CLE,COL,B,,,0,2,2025,-1.32,0.38,0.06,0.8,,666134.0,,2,9,Bot,,,,,,,10.030829693493942,-130.88111772145973,-6.84320356611856,-17.196380291326648,24.773379552223865,-26.57133871904587,2.93,1.31,,,,91.8,1768.0,7.2,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.34,,,,,,,,86,3,Split-Finger,6,8,6,8,8,6,6,8,Strategic,Standard,240.0,0.0,0.015,,,,-0.015,,-2,-2,0.05,0.05,25,24,25,24,1,4,3.0,1.0,5.0,1.0,2.41,1.32,-1.32,35.8,,,,,
FS,2025-07-28,90.0,-2.68,5.68,"Halvorsen, Seth",677587,678020,,swinging_strike,,,,,13.0,Swinging Strike,R,L,R,CLE,COL,S,,,0,1,2025,-1.45,0.55,-0.55,1.1,,666134.0,,2,9,Bot,,,,,,,8.473622350765119,-130.69503538887662,-6.64322989637381,-18.412157359762503,26.50672780426725,-24.652509224227785,3.11,1.41,,,,91.2,1753.0,7.0,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.48,,,,,,,,86,2,Split-Finger,6,8,6,8,8,6,6,8,Standard,Standard,236.0,0.0,-0.056,73.4,7.8,,0.056,,-2,-2,0.05,0.05,25,24,25,24,1,4,3.0,1.0,5.0,1.0,2.27,1.45,-1.45,41.8,17.903012298217224,-17.056887199264207,35.08570066558862,39.09118053222649,44.54816866636724
FS,2025-07-28,89.8,-2.7,5.59,"Halvorsen, Seth",677587,678020,,called_strike,,,,,4.0,Called Strike,R,L,R,CLE,COL,S,,,0,0,2025,-1.33,0.5,-0.3,2.12,,,666134.0,2,9,Bot,,,,,,,8.89223382034574,-130.57861430414331,-3.707746261479852,-17.04936976061954,26.266183507710647,-25.876744027887465,3.07,1.19,,,,91.2,1702.0,7.1,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.41,,,,,,,,86,1,Split-Finger,6,8,6,8,8,6,6,8,Standard,Standard,237.0,0.004,-0.042,,,,0.042,,-2,-2,0.046,0.046,25,24,25,24,1,4,3.0,1.0,5.0,1.0,2.32,1.33,-1.33,40.0,,,,,
FF,2025-07-28,98.5,-2.28,5.73,"Halvorsen, Seth",666134,678020,single,hit_into_play,,,,,4.0,Nolan Jones singles on a ground ball to right fielder Mickey Moniak. Daniel Schneemann scores.,R,L,R,CLE,COL,X,9.0,ground_ball,2,1,2025,-1.3,0.89,-0.34,2.74,,682177.0,,2,9,Bot,186.82,109.78,,,,,8.400331148720948,-143.13138829339343,-4.747869183846679,-19.78758685850572,35.23177849397312,-18.968442169496893,3.77,1.72,105.0,100.1,6.0,99.7,2210.0,7.2,776968,696100,682653,642731,571657,606115,687597,686668,666160,53.34,0.595,0.548,0.9,1.0,1.0,0.0,4.0,85,4,4-Seam Fastball,5,8,5,8,8,6,6,8,Strategic,Standard,226.0,0.027,0.677,77.9,6.9,0.676,-0.677,100.1,-3,-3,0.019,0.019,25,27,25,27,1,4,3.0,1.0,5.0,1.0,1.48,1.3,-1.3,43.8,14.847336930608382,-5.093273264245456,30.990986936122106,39.64522545246541,34.41986778611865
